,Preferred Label,In Scheme,Status,Alt. Label,Definition,Example,Editorial Note
,Slugline,Media Creation Context,published,,A line within a screenplay written in all uppercase letters to draw attention to specific script information.,,
,Character,Media Creation Context,published,,A sentient entity (usually a person but not always) in the script whose specific identity is consequential to the narrative. A Character is generally identified by a specific name.,,
,Extra,Media Creation Context,published,,"A sentient entity (usually a person, but not always) in the Script whose specific identity is minimally consequential to the narrative.  ",,
,Scene,Media Creation Context,published,,"A section of the Script typically defined by a unity of location or time, but could be based on a different single narrative context where a montage or multiple locations make up the scene.",,
,Production Scene,Media Creation Context,published,,"Defined either by explicit divisions in the structure of the Script, e.g., by a Slugline, or by additional capture for use in the Creative Work that is not tied to any particular Scene in the Script.",,
,Narrative Scene,Media Creation Context,published,,"Taken from the narrative itself and traditionally defined by creative intent and typically a unity of time, place, action, or theme.",,
,Scene Number,Media Creation Context,published,,A number tied to the Slugline when a Script is locked.,,
,Scene Header,Media Creation Context,published,,Used when referring to the Production Scene.  It is generally synonymous with 'Slugline' and is used to divide a Script into Production Scenes.,,
,Slate,Media Creation Context,published,"Movie Slate, Clapperboard, File Clapper, Clapboard",Used to capture key identifying information about what is being recorded on any given setup and take.,,"Slate provides the connection between the narrative and production process and is a virtualized version of the physical slate. The Slate is usually recorded at the start of a take. In the event it is not possible to use a slate at the start, then the slate can be shown at the end but positioned upside down."
,Shoot Day,Media Creation Context,published,,The number of the day on the shooting schedule.,,
,Slate Name,Media Creation Context,published,,The combination of Scene Descriptor and Setup.,,It is the same as Slate UID without the Take information.
,Sound Roll,Media Creation Context,published,,Identifier for a group of audio events captured together on the same recording device.,,
,Scene Descriptor,Media Creation Context,published,,An alphanumeric reference to the Production Scene.,"4, 42B",
,Slate UID,Media Creation Context,published,,"An alphanumeric code that uniquely identifies a single clip by combining the Scene Descriptor, Setup, and Take.",,
,Take,Media Creation Context,published,,A discrete capture event with a specified beginning and end.,"1, 2, 3",
,Setup,Media Creation Context,published,Shot,"The unique camera configuration which encompasses a cameras geo-location, positioning, lens or other camera settings.",,
,Shoot Date,Media Creation Context,published,,The date of capture.,,
,Prop,Media Creation Context,published,,A named object related to or interacting with characters that is implied or understood to be necessary for the narrative.,,
