"","Preferred Label","In Scheme","Status","Alt. Label","Definition","Example","Editorial Note"
"","Framing Decision List","Camera","published","","Framing Decision List","","The American Society of Cinematographers’ FDL is a set of instructions for how to view content in any application. The ASC FDL provides a mechanism to document framing decisions through all phases of a production's life cycle, from pre-visualization through post-production."
"","Lens Metadata","Camera","published","","Capture-specific details and information about the Lens itself.","",""
"","Entrance Pupil Position","Camera","published","","Entrance pupil position of the lens","",""
"","Lens Serial Number","Camera","published","","A number unique to each lens from the same manufacturer or vendor and of the same model.","",""
"","Lens Make","Camera","published","","The lens manufacturer or vendor.","",""
"","Focal Length","Camera","published","","The actual focal length of the lens, in millimeters, when the image was captured.","","With a zoom lens this may be change frame by frame."
"","Lens Firmware Version","Camera","published","","Version identifier for the firmware of the lens","",""
"","Focus Position","Camera","published","Focus distance","Focus distance/position of the lens","",""
"","Anamorphic Squeeze","Camera","published","","Nominal ratio of height to width of the image of an axis-aligned square captured by the camera sensor","",""
"","f-Stop","Camera","published","f-number","The linear f-number of the lens, equal to the focal length divided by the diameter of the entrance pupil","",""
"","Lens Model","Camera","published","","The lens model identifier assigned by the lens manufacturer or vendor.","",""
"","T-Stop","Camera","published","Aperture","The linear T-number of the lens, equal to the f-number of the lens divided by the square root of the transmittance of the lens","",""
